osm_id,name,name:en,int_name,old_name,old_name:en,number,street,postal_code,city,country,country_code,lat,lon,website,phone,fax,tags,description,date_added,wikidata
203508135,,,,,,,,06000,Nice,France,fr,43.6945869,7.2592786,,,,osm:museum,,2019-06-30T23:12:50Z,
203508136,,,,,,,,06000,Nice,France,fr,43.6944496,7.2585738,,,,osm:museum,,2019-06-30T23:12:50Z,
205271816,,,,,,,,75005,Paris,France,fr,48.8510011,2.3431958,,,,osm:museum,,2010-04-27T07:58:02Z,
206237405,,,,,,,,67085,Strasbourg,France,fr,48.5840292,7.765503,,,,osm:museum,,2011-07-27T06:30:35Z,
206237406,,,,,,,,67085,Strasbourg,France,fr,48.5839273,7.7658605,,,,osm:museum,,2011-07-27T06:30:35Z,
206237407,,,,,,,,67000,Strasbourg,France,fr,48.5838096,7.7657875,,,,osm:museum,,2011-07-27T06:30:35Z,
206237408,,,,,,,,67085,Strasbourg,France,fr,48.5839054,7.7654244,,,,osm:museum,,2011-07-27T06:30:35Z,
207782434,,,,,,,,75001,Paris,France,fr,48.8630062,2.3424863,,,,osm:museum,,2010-03-30T18:07:26Z,
207782441,,,,,,,,75001,Paris,France,fr,48.8628715,2.3423768,,,,osm:museum,,2010-03-30T18:07:26Z,
207782447,,,,,,,,75001,Paris,France,fr,48.862768,2.3423872,,,,osm:museum,,2010-03-30T18:07:26Z,
207782453,,,,,,,,75001,Paris,France,fr,48.8626297,2.3424732,,,,osm:museum,,2010-03-30T18:07:24Z,
207782458,,,,,,,,75001,Paris,France,fr,48.8625411,2.342652,,,,osm:museum,,2010-03-30T18:07:25Z,
207782464,,,,,,,,75001,Paris,France,fr,48.8625183,2.3428789,,,,osm:museum,,2010-03-30T18:07:28Z,
207782468,,,,,,,,75001,Paris,France,fr,48.8625385,2.3430309,,,,osm:museum,,2010-03-30T18:07:29Z,
207782472,,,,,,,,75001,Paris,France,fr,48.8626721,2.3432363,,,,osm:museum,,2010-03-30T18:07:29Z,
207782478,,,,,,,,75001,Paris,France,fr,48.8628117,2.3432884,,,,osm:museum,,2010-03-30T18:07:30Z,
207782484,,,,,,,,75001,Paris,France,fr,48.8629502,2.34324,,,,osm:museum,,2010-03-30T18:07:31Z,
207782493,,,,,,,,75001,Paris,France,fr,48.8630614,2.3430953,,,,osm:museum,,2010-03-30T18:07:30Z,
207782499,,,,,,,,75001,Paris,France,fr,48.8630966,2.3429939,,,,osm:museum,,2010-03-30T18:07:31Z,
207782504,,,,,,,,75001,Paris,France,fr,48.8631149,2.342772,,,,osm:museum,,2010-03-30T18:07:28Z,
207782510,,,,,,,,75001,Paris,France,fr,48.8630834,2.3426197,,,,osm:museum,,2010-03-30T18:07:28Z,
212545494,,,,,,,,75005,Paris,France,fr,48.8508692,2.3437386,,,,osm:museum,,2010-04-27T07:58:03Z,
212545496,,,,,,,,75005,Paris,France,fr,48.8507909,2.343695,,,,osm:museum,,2010-04-27T07:58:02Z,
212545497,,,,,,,,75005,Paris,France,fr,48.850682,2.3441188,,,,osm:museum,,2010-04-27T07:58:02Z,
212545498,,,,,,,,75005,Paris,France,fr,48.8505605,2.3440435,,,,osm:museum,,2013-07-02T15:24:13Z,
212545499,,,,,,,,75005,Paris,France,fr,48.8504763,2.3444659,,,,osm:museum,,2010-02-13T17:16:04Z,
212546071,,,,,,,,75005,Paris,France,fr,48.8503285,2.344405,,,,osm:museum,,2010-04-27T07:58:02Z,
237003117,Musée de l'Assistance Publique Hôpitaux de Paris,,,,,,,75005,Paris,France,fr,48.850724,2.3518758,,,,,,2019-03-07T08:25:11Z,
,,,,,,,,,,,,,,,+33140275005,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,https://www.aphp.fr/,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Q1998638
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
