ref_musee;nom_du_musee;regions;ville;annee;departements;date_appellation;payant;gratuit;total;note;commentaire
8606603;Musée de la Moto, de l'Automobile et du Vélo;POITOU-CHARENTES;CHATELLERAULT;2009;VIENNE;01/02/2003;4311;9231;13542;;
8607801;Musée Municipal de Civray;POITOU-CHARENTES;CIVRAY;2009;VIENNE;01/02/2003;0;605;605;;
8619404;Musée du baptistère Saint-Jean;POITOU-CHARENTES;POITIERS;2009;VIENNE;01/02/2003;12419;1159;13578;;
0602702;Musée Renoir;PROVENCE-ALPES-CÔTE D'AZUR;CAGNES-SUR-MER;2009;ALPES-MARITIMES;01/02/2003;27134;9827;36961;;
0606903;Musée International de la Parfumerie;PROVENCE-ALPES-CÔTE D'AZUR;GRASSE;2009;ALPES-MARITIMES;01/02/2003;44110;46024;90134;;
0608303;Musée de Préhistoire Régionale;PROVENCE-ALPES-CÔTE D'AZUR;MENTON;2009;ALPES-MARITIMES;01/02/2003;0;12742;12742;;
0608816;Musée Départemental des Arts Asiatiques;PROVENCE-ALPES-CÔTE D'AZUR;NICE;2009;ALPES-MARITIMES;01/02/2003;9028;77200;86228;;
0608808;Musée du Palais Lascaris;PROVENCE-ALPES-CÔTE D'AZUR;NICE;2009;ALPES-MARITIMES;01/02/2003;0;83750;83750;;
0608813;Musée d'Art Moderne et d'Art Contemporain;PROVENCE-ALPES-CÔTE D'AZUR;NICE;2009;ALPES-MARITIMES;01/02/2003;0;163803;163803;;
0615502;Musée Picasso la guerre et la paix à Vallauris;PROVENCE-ALPES-CÔTE D'AZUR;VALLAURIS;2009;ALPES-MARITIMES;06/01/2002;18564;12577;31141;;"0615502 ; 0615501"
1300102;Musée du Parlement de Provence et du Vieil Aix;PROVENCE-ALPES-CÔTE D'AZUR;AIX-EN-PROVENCE;2009;BOUCHES DU RHONE;01/02/2003;0;15482;15482;;
1300107;Muséum d'Histoire Naturelle;PROVENCE-ALPES-CÔTE D'AZUR;AIX-EN-PROVENCE;2009;BOUCHES DU RHONE;06/01/2002;11507;27193;38700;;
1302801;Musée Ciotaden;PROVENCE-ALPES-CÔTE D'AZUR;LA CIOTAT;2009;BOUCHES DU RHONE;01/02/2003;3311;2455;5766;;
1301103;Musée d'Histoire et d'Archéologie des Baux-de-Provence;PROVENCE-ALPES-CÔTE D'AZUR;LES BAUX DE PROVENCE;2009;BOUCHES DU RHONE;01/02/2003;223838;36454;260292;;
1305201;Musée Frédéric Mistral;PROVENCE-ALPES-CÔTE D'AZUR;MAILLANE;2009;BOUCHES DU RHONE;01/02/2003;2331;3298;5629;;
1305601;Musée Ziem;PROVENCE-ALPES-CÔTE D'AZUR;MARTIGUES;2009;BOUCHES DU RHONE;01/02/2003;0;16172;16172;;
1309101;Musée Suffren et du Vieux Saint-Cannat;PROVENCE-ALPES-CÔTE D'AZUR;SAINT-CANNAT;2009;BOUCHES DU RHONE;01/02/2003;0;5200;5200;;
1310001;Musée des Alpilles;PROVENCE-ALPES-CÔTE D'AZUR;SAINT-REMY-DE-PROVENCE;2009;BOUCHES DU RHONE;01/02/2003;2967;6137;9104;;
8302301;Musée du Pays Brignolais;PROVENCE-ALPES-CÔTE D'AZUR;BRIGNOLES;2009;VAR;01/02/2003;2521;2861;5382;;
