id,osm_id,name,city,country,country_code,status,year,stats,tags
6938201,,Musée des Hospices Civils de Lyon,LYON,France,fr,open,2002,payant:10002;gratuit:2616;total:12618,;label:musee de france
6938604,,Musée Guimet,LYON,France,fr,open,2002,payant:0;gratuit:0;total:,;label:musee de france
6938701,,Centre d'Histoire de la Résistance et de la Déportation,LYON,France,fr,open,2002,payant:60626;gratuit:0;total:60626,;label:musee de france
6923501,,Musée Archéologique,SAINT-ROMAIN-EN-GAL,France,fr,open,2002,payant:76632;gratuit:0;total:76632,;label:musee de france
6926401,,Musée Paul Dini,VILLEFRANCHE-SUR-SAONE,France,fr,open,2002,payant:6277;gratuit:11738;total:18015,;label:musee de france
6737201,,Musée de l'Image Populaire de Pfaffenhoffen,PFAFFENHOFFEN,France,fr,open,2002,payant:2319;gratuit:1384;total:3703;mdf-date:2002-09-07 00:00:00,;label:musee de france
6748207,,Musée Historique,STRASBOURG,France,fr,closed,2002,payant:0;gratuit:0;total:,;label:musee de france
6748206,,Musée de l'Œuvre Notre-Dame,STRASBOURG,France,fr,open,2002,payant:15413;gratuit:18364;total:33777,;label:musee de france
6748203,,Musée des Beaux-Arts,STRASBOURG,France,fr,open,2002,payant:22131;gratuit:29234;total:51365,;label:musee de france
6754401,,Musée Westercamp,WISSEMBOURG,France,fr,open,2002,payant:2880;gratuit:1200;total:4080,;label:musee de france
6800401,,Musée Sundgauvien d'Altkirch,ALTKIRCH,France,fr,open,2002,payant:1172;gratuit:987;total:2159,;label:musee de france
6803601,,Musée Gallo-Romain,BIESHEIM,France,fr,open,2002,payant:1073;gratuit:2981;total:4054,;label:musee de france
6806301,,Musée de la Porte de Thann,CERNAY,France,fr,open,2002,payant:1442;gratuit:0;total:1442,;label:musee de france
6822404,,Musée EDF Electropolis,MULHOUSE,France,fr,open,2002,payant:25716;gratuit:5055;total:30771,;label:musee de france
6822402,,Musée de l'Impression sur Etoffes,MULHOUSE,France,fr,open,2002,payant:28196;gratuit:0;total:28196,;label:musee de france
6827702,,Musée du Dolder,RIQUEWIHR,France,fr,open,2002,payant:6465;gratuit:780;total:7245,;label:musee de france
2429101,,Musée Eugène Le Roy et des Vieux Métiers,MONTIGNAC,France,fr,closed,2002,payant:0;gratuit:0;total:,;label:musee de france
2432202,,Musée Militaire - Souvenir du Périgord,PERIGUEUX,France,fr,open,2002,payant:1973;gratuit:0;total:1973,;label:musee de france
3306310,,Musée Goupil,BORDEAUX,France,fr,closed,2002,payant:0;gratuit:0;total:,;label:musee de france
3306301,,CAPC Musée d'Art Contemporain de Bordeaux,BORDEAUX,France,fr,open,2002,payant:15747;gratuit:70343;total:86090,;label:musee de france
3306303,,Musée des Beaux-Arts,BORDEAUX,France,fr,open,2002,payant:17322;gratuit:23013;total:40335;mdf-date:06/01/2002,;label:musee de france
3324301,,Musée des Beaux-Arts et d'Archéologie,LIBOURNE,France,fr,open,2002,payant:1408;gratuit:6131;total:7539,;label:musee de france
4012001,,Musée Archéologique,HASTINGUES,France,fr,closed,2002,payant:0;gratuit:0;total:,;label:musee de france
4020001,,Musée du Patrimoine Religieux et des Croyances Populaires,MOUSTEY,France,fr,open,2002,payant:1863;gratuit:0;total:1863,;label:musee de france
4024601,,Ecomusée de la Grande Lande,SABRES,France,fr,open,2002,payant:96005;gratuit:9339;total:105344,;label:musee de france
6410202,,Musée Bonnat,BAYONNE,France,fr,open,2002,payant:16023;gratuit:16307;total:32330,;label:musee de france
6410201,,Musée Basque et de l'Histoire de Bayonne,BAYONNE,France,fr,open,2002,payant:32242;gratuit:21503;total:53745,;label:musee de france
6424901,,Musée Municipal de Guéthary,GUETHARY,France,fr,open,2002,payant:591;gratuit:2603;total:3194,;label:musee de france
6444503,,Musée National du Château,PAU,France,fr,open,2002,payant:65241;gratuit:33591;total:98832;mdf-date:06/01/2002,;label:musee de france
0319501,,Musée Rieckotter,NERIS-LES-BAINS,France,fr,open,2002,payant:1377;gratuit:0;total:1377,;label:musee de france
1501401,,Musée des Sciences,AURILLAC,France,fr,open,2002,payant:13748;gratuit:2120;total:15868,;label:musee de france
1518701,,Musée de la Haute Auvergne,SAINT-FLOUR,France,fr,open,2002,payant:7597;gratuit:2782;total:10379,;label:musee de france
4316201,,Musée des Manufactures de Dentelles,RETOURNAC,France,fr,open,2002,payant:3766;gratuit:0;total:3766;mdf-date:22/04/2002,;label:musee de france
6301001,,Musée de la Dentelle,ARLANC,France,fr,open,2002,payant:2404;gratuit:241;total:2645,;label:musee de france
6311301,,Musée d'Archéologie Bargoin,CLERMONT-FERRAND,France,fr,open,2002,payant:2189;gratuit:6543;total:8732,;label:musee de france
6322301,,Musée Paléontologique,MENAT,France,fr,open,2002,payant:1453;gratuit:0;total:1453,;label:musee de france
2111401,,Musée de la Sidérurgie Grande Forge,BUFFON,France,fr,closed,2002,payant:0;gratuit:0;total:,;label:musee de france
2115401,,Musée du Pays Châtillonnais - Trésor de Vix,CHATILLON-SUR-SEINE,France,fr,open,2002,payant:15921;gratuit:4069;total:19990,;label:musee de france
2126501,,Musée Noisot,FIXIN,France,fr,open,2002,payant:431;gratuit:1269;total:1700,;label:musee de france
2142501,,Musée Buffon,MONTBARD,France,fr,open,2002,payant:2529;gratuit:849;total:3378,;label:musee de france
2146401,,Musée Municipal,NUITS-SAINT-GEORGES,France,fr,open,2002,payant:641;gratuit:2044;total:2685,;label:musee de france
5808601,,Musée de la Loire,COSNE-SUR-LOIRE,France,fr,open,2002,payant:892;gratuit:3224;total:4116,;label:musee de france
7101403,,Musée Lapidaire Saint-Nicolas,AUTUN,France,fr,closed,2002,payant:0;gratuit:0;total:,;label:musee de france
7104701,,Musée Saint-Nazaire,BOURBON-LANCY,France,fr,open,2002,payant:0;gratuit:1762;total:1762,;label:musee de france
7110602,,Musée du Prieuré de Charolles,CHAROLLES,France,fr,open,2002,payant:0;gratuit:1561;total:1561,;label:musee de france
7115301,,Ecomusée de la Communauté Le Creusot-Monceau-Les-Mines,LE CREUSOT,France,fr,open,2002,payant:15616;gratuit:5683;total:21299,;label:musee de france
8902403,,Musée Leblanc-Duvernois,AUXERRE,France,fr,open,2002,payant:1227;gratuit:1009;total:2236,;label:musee de france
8902501,,Musée de l'Avallonnais Jean Després,AVALLON,France,fr,open,2002,payant:818;gratuit:3193;total:4011,;label:musee de france
8941801,,Musée Municipal de Tonnerre,TONNERRE,France,fr,closed,2002,payant:0;gratuit:0;total:,;label:musee de france
2205001,,Musée du Château de Dinan,DINAN,France,fr,open,2002,payant:19919;gratuit:12574;total:32493,;label:musee de france
2901902,,Musée National de la Marine,BREST,France,fr,open,2002,payant:58863;gratuit:0;total:58863;mdf-date:06/01/2002,;label:musee de france
2903901,,Musée de la Pêche,CONCARNEAU,France,fr,open,2002,payant:47000;gratuit:3000;total:50000,;label:musee de france
2904601,,Le Port-Musée,DOUARNENEZ,France,fr,open,2002,payant:32880;gratuit:3842;total:36722,;label:musee de france
2915501,,Ecomusée d'Ouessant - Vivre sur une Ile,OUESSANT,France,fr,open,2002,payant:13217;gratuit:0;total:13217,;label:musee de france
2921701,,Musée de Pont-Aven,PONT-AVEN,France,fr,open,2002,payant:40263;gratuit:0;total:40263,;label:musee de france
