id,osm_id,name,status,year,stats,tags
2103801,,Musée Bonaparte,open,2008,payant:0;gratuit:2091;total:2091;mdf-date:01/02/2003,;label:musee de france
2123106,,"Musée de la Vie Bourguignonne, Perrin de Puycousin",open,2008,payant:0;gratuit:37105;total:37105;mdf-date:01/02/2003,;label:musee de france
2126501,,Musée Noisot,open,2008,payant:328;gratuit:275;total:603;mdf-date:01/02/2003,;label:musee de france
2142502,,Musée des Beaux-Arts,open,2008,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
2160301,,Musée Municipal,open,2008,payant:76;gratuit:4924;total:5000;mdf-date:01/02/2003,;label:musee de france
5806202,,Musée du Costume,open,2008,payant:5650;gratuit:1051;total:6701;mdf-date:01/02/2003,;label:musee de france
7110601,,Musée René Davoine,closed,2008,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
7134202,,Musée Municipal,closed,2008,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
7135101,,Ecomusée de la Bresse Bourguignonne,open,2008,payant:23845;gratuit:9629;total:33474;mdf-date:01/02/2003,;label:musee de france
7137301,,Musée du Terroir,open,2008,payant:0;gratuit:803;total:803;mdf-date:01/02/2003,;label:musee de france
8902402,,Musée d'Art et d'Histoire,open,2008,payant:9134;gratuit:20741;total:29875;mdf-date:01/02/2003,;label:musee de france
8934401,,Musée de l'Aventure du Son,open,2008,payant:3855;gratuit:277;total:4132;mdf-date:18/04/2008,;label:musee de france
8941801,,Musée Municipal de Tonnerre,closed,2008,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
8944601,,Musée Zervos - Maison Romain Rolland,open,2008,payant:10159;gratuit:2841;total:13000;mdf-date:01/02/2003,;label:musee de france
2205001,,Musée du Château de Dinan,open,2008,payant:13158;gratuit:8237;total:21395;mdf-date:01/02/2003,;label:musee de france
2227801,,Musée d'Art et d'Histoire,open,2008,payant:0;gratuit:35859;total:35859;mdf-date:01/02/2003,;label:musee de france
2904601,,Le Port-Musée,open,2008,payant:31132;gratuit:13364;total:44496;mdf-date:01/02/2003,;label:musee de france
2928901,,Musée de l'Ecole Rurale en Bretagne,open,2008,payant:8055;gratuit:1242;total:9297;mdf-date:01/02/2003,;label:musee de france
3523801,,Musée de Bretagne,open,2008,payant:48779;gratuit:50774;total:99553;mdf-date:01/02/2003,;label:musee de france
3528802,,Musée d'Histoire de la Ville de Saint-Malo,open,2008,payant:19657;gratuit:7698;total:27355;mdf-date:01/02/2003,;label:musee de france
3528801,,Musée International du Long-Cours Cap-Hornier,open,2008,payant:7250;gratuit:3462;total:10712;mdf-date:01/02/2003,;label:musee de france
3536003,,Musée des Rochers-Sévigné,open,2008,payant:4943;gratuit:2257;total:7200;mdf-date:01/02/2003,;label:musee de france
5624001,,Musée du Château de Suscinio,open,2008,payant:75300;gratuit:16303;total:91603;mdf-date:01/02/2003,;label:musee de france
1803302,,Musée des Arts Décoratifs,open,2008,payant:0;gratuit:14480;total:14480;mdf-date:01/02/2003,;label:musee de france
1819701,,Musée Saint-Vic,open,2008,payant:564;gratuit:1390;total:1954;mdf-date:01/02/2003,;label:musee de france
2805101,,Musée Bonnevallais,closed,2008,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
2808801,,Musée des Beaux-Arts et d'Histoire Naturelle,closed,2008,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
3620001,,Musée Archéologique d'Argentomagus,open,2008,payant:9300;gratuit:7940;total:17240;mdf-date:01/02/2003,;label:musee de france
3700302,,Musée de la poste,closed,2008,payant:0;gratuit:0;total:;mdf-date:01/02/2003,;label:musee de france
3700301,,Musée de l'Hôtel des Communes,open,2008,payant:0;gratuit:4318;total:4318;mdf-date:01/02/2003,;label:musee de france
3724101,,Musée du Savignéen,open,2008,payant:1593;gratuit:215;total:1808;mdf-date:01/02/2003,;label:musee de france
