id,osm_id,name,city,country,country_code,status,year,stats,tags
7702201,,Musée Départemental de l'Ecole de Barbizon - Auberge Ganne,BARBIZON,France,fr,open,2007,payant:18182;gratuit:6975;total:25157;mdf-date:01/02/2003,label:musee de france
7713101,,Musée Municipal des Capucins,COULOMMIERS,France,fr,open,2007,payant:1293;gratuit:2037;total:3330;mdf-date:01/02/2003,label:musee de france
7728501,,Musée Henri Chapu,LE MEE-SUR-SEINE,France,fr,open,2007,payant:0;gratuit:1410;total:1410;mdf-date:01/02/2003,label:musee de france
7728402,,Musée de la Grande Guerre du Pays de Meaux,MEAUX,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:2007-03-15 00:00:00,label:musee de france
7737901,,Musée de Provins et du Provinois,PROVINS,France,fr,open,2007,payant:21180;gratuit:0;total:21180;mdf-date:01/02/2003,label:musee de france
9304801,,Musée de l'Histoire Vivante,MONTREUIL-SOUS-BOIS,France,fr,open,2007,payant:2320;gratuit:2000;total:4320;mdf-date:01/02/2003,label:musee de france
9408101,,"MAC VAL, Musée d'Art Contemporain du Val-de-Marne",VITRY SUR SEINE,France,fr,open,2007,payant:22587;gratuit:63634;total:86221;mdf-date:01/02/2003,label:musee de france
9550001,,Musée Tavet Delacour,PONTOISE,France,fr,open,2007,payant:2526;gratuit:4682;total:7208;mdf-date:01/02/2003,label:musee de france
7820801,,Musée de la Ville,MONTIGNY LE BRETONNEUX,France,fr,open,2007,payant:4668;gratuit:9316;total:13984;mdf-date:01/02/2003,label:musee de france
7855103,,Musée d'Archéologie Nationale (des origines à l'an mille) - Château de st-Germain-en-Laye,SAINT-GERMAIN-EN-LAYE,France,fr,open,2007,payant:16516;gratuit:81730;total:98246;mdf-date:06/01/2002,label:musee de france
1107601,,Musée Archéologique du Lauragais,CASTELNAUDARY,France,fr,open,2007,payant:934;gratuit:1522;total:2456;mdf-date:01/02/2003,label:musee de france
3000701,,Musée-Bibliothèque Pierre-André Benoît,ALES,France,fr,open,2007,payant:0;gratuit:18820;total:18820;mdf-date:01/02/2003,label:musee de france
3002802,,Musée Léon Alègre,BAGNOLS-SUR-CEZE,France,fr,open,2007,payant:23;gratuit:1639;total:1662;mdf-date:01/02/2003,label:musee de france
3003201,,Musée Municipal de la Vignasse,BEAUCAIRE,France,fr,open,2007,payant:513;gratuit:2323;total:2836;mdf-date:01/02/2003,label:musee de france
3020201,,Musée Paul Raymond,PONT-SAINT-ESPRIT,France,fr,open,2007,payant:0;gratuit:2400;total:2400;mdf-date:01/02/2003,label:musee de france
3026901,,Musée des Vallées Cévenoles,SAINT-JEAN DU GARD,France,fr,open,2007,payant:9292;gratuit:7397;total:16689;mdf-date:01/02/2003,label:musee de france
3403203,,Muséum d'Histoire Naturelle,BEZIERS,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
3403901,,Musée de l'Etang de Thau,BOUZIGUES,France,fr,open,2007,payant:17375;gratuit:0;total:17375;mdf-date:01/02/2003,label:musee de france
3415801,,Musée Archéologique,MINERVE,France,fr,open,2007,payant:5248;gratuit:0;total:5248;mdf-date:01/02/2003,label:musee de france
3417210,,Musée de l'Hôtel d'Espeyran (Annexe musée Fabre),MONTPELLIER,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
3417203,,Musée Fabre,MONTPELLIER,France,fr,open,2007,payant:211527;gratuit:139501;total:351028;mdf-date:06/01/2002,label:musee de france
6605301,,Musée d'Art Moderne - Fonds Peskè,COLLIOURE,France,fr,open,2007,payant:19011;gratuit:5300;total:24311;mdf-date:01/02/2003,label:musee de france
6613604,,Muséum d'Histoire Naturelle,PERPIGNAN,France,fr,open,2007,payant:808;gratuit:2518;total:3326;mdf-date:01/02/2003,label:musee de france
6620501,,Musée de Tautavel,TAUTAVEL,France,fr,open,2007,payant:70338;gratuit:9874;total:80212;mdf-date:01/02/2003,label:musee de france
1925101,,Musée du Président Jacques Chirac,SARRAN,France,fr,open,2007,payant:45422;gratuit:4593;total:50015;mdf-date:29/11/2002,label:musee de france
5432901,,Musée du Château de Lunéville,LUNEVILLE,France,fr,open,2007,payant:0;gratuit:7800;total:7800;mdf-date:01/02/2003,label:musee de france
5512201,,Musée de la Céramique et de l'Ivoire,COMMERCY,France,fr,open,2007,payant:1519;gratuit:835;total:2354;mdf-date:01/02/2003,label:musee de france
5546301,,Musée d'Art Sacré de la Meuse,SAINT-MIHIEL,France,fr,open,2007,payant:969;gratuit:484;total:1453;mdf-date:01/02/2003,label:musee de france
5546701,,Musée Départemental Raymond Poincaré,SAMPIGNY,France,fr,open,2007,payant:202;gratuit:253;total:455;mdf-date:01/02/2003,label:musee de france
5725601,,Musée Départemental de la Guerre de 70,GRAVELOTTE,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
5744801,,Musée Départemental du Sel,MARSAL,France,fr,open,2007,payant:18204;gratuit:0;total:18204;mdf-date:01/02/2003,label:musee de france
5745601,,Maison du Verre et du Cristal,MEISENTHAL,France,fr,open,2007,payant:16726;gratuit:912;total:17638;mdf-date:01/02/2003,label:musee de france
5753701,,Musée de la Mine - Carreau Wendel,PETITE-ROSSELLE,France,fr,open,2007,payant:43725;gratuit:0;total:43725;mdf-date:01/02/2003,label:musee de france
5767201,,La Tour aux Puces - Musée du Pays Thionvillois,THIONVILLE,France,fr,open,2007,payant:2563;gratuit:8316;total:10879;mdf-date:01/02/2003,label:musee de france
5771201,,Musée Départemental Georges de la Tour,VIC-SUR-SEILLE,France,fr,open,2007,payant:5229;gratuit:6156;total:11385;mdf-date:01/02/2003,label:musee de france
8838302,,Musée Charles Friry,REMIREMONT,France,fr,open,2007,payant:0;gratuit:0;total:;mdf-date:11/08/2002,label:musee de france
8841301,,Musée Pierre Noël - Musée de la Vie dans les Hautes-Vosges,SAINT-DIE-DES-VOSGES,France,fr,open,2007,payant:5699;gratuit:12016;total:17715;mdf-date:01/02/2003,label:musee de france
9720903,,Muséum d'Histoire Naturelle,FORT-DE-FRANCE,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
9723101,,Musée de La Canne,LES TROIS ILETS,France,fr,open,2007,payant:16001;gratuit:2518;total:18519;mdf-date:01/02/2003,label:musee de france
1208901,,Musée Régional de Géologie Pierre Vetter,DECAZEVILLE,France,fr,open,2007,payant:2083;gratuit:2147;total:4230;mdf-date:01/02/2003,label:musee de france
1214501,,Musée Municipal de Millau,MILLAU,France,fr,open,2007,payant:8972;gratuit:11804;total:20776;mdf-date:01/02/2003,label:musee de france
1220201,,Musée Fenaille,RODEZ,France,fr,open,2007,payant:8599;gratuit:13876;total:22475;mdf-date:01/02/2003,label:musee de france
1220301,,Musée Municipal d'archéologie,ROQUEFORT-SUR-SOULZON,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
1225501,,Musée du Charroi Rural et de l'Artisanat Traditionnel,SALMIECH,France,fr,open,2007,payant:0;gratuit:1530;total:1530;mdf-date:01/02/2003,label:musee de france
3210701,,Musée de l'Armagnac,CONDOM,France,fr,open,2007,payant:4001;gratuit:247;total:4248;mdf-date:01/02/2003,label:musee de france
3211901,,Musée Archéologique,EAUZE,France,fr,open,2007,payant:4813;gratuit:1162;total:5975;mdf-date:01/02/2003,label:musee de france
3102801,,Musée de Préhistoire,AURIGNAC,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
3104201,,Musée du Pays de Luchon,BAGNERES-DE-LUCHON,France,fr,open,2007,payant:2322;gratuit:150;total:2472;mdf-date:01/02/2003,label:musee de france
6505901,,Musée Bigourdan du Vieux Moulin,BAGNERES-DE-BIGORRE,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
6529501,,Musée Municipal - Musée Trésor,LUZ-SAINT-SAUVEUR,France,fr,open,2007,payant:757;gratuit:0;total:757;mdf-date:01/02/2003,label:musee de france
6544001,,Musée Massey,TARBES,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:06/10/2002,label:musee de france
4604201,,Musée Henri Martin,CAHORS,France,fr,open,2007,payant:3374;gratuit:5236;total:8610;mdf-date:01/02/2003,label:musee de france
4613801,,Musée Murat,CŒUR DE CAUSSE,France,fr,open,2007,payant:945;gratuit:0;total:945;mdf-date:01/02/2003,label:musee de france
4618201,,"""Musée Archéologique """"Armand-Viré""""""",LUZECH,France,fr,open,2007,payant:1485;gratuit:0;total:1485;mdf-date:01/02/2003,label:musee de france
4618501,,Musée Gallo-Romain d'Uxellodunum,MARTEL,France,fr,open,2007,payant:541;gratuit:300;total:841;mdf-date:01/02/2003,label:musee de france
4629901,,Musée Départemental de Cuzals,SAULIAC-SUR-CELE,France,fr,open,2007,payant:8139;gratuit:2295;total:10434;mdf-date:01/02/2003,label:musee de france
8101201,,Musée Eugénie et Maurice Guérin,ANDILLAC,France,fr,open,2007,payant:2235;gratuit:2218;total:4453;mdf-date:01/02/2003,label:musee de france
8106901,,Musée d'Art et d'Histoire Charles Portal,CORDES-SUR-CIEL,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
8109902,,Muséum d'histoire naturelle Philadelphe Thomas,GAILLAC,France,fr,open,2007,payant:607;gratuit:3350;total:3957;mdf-date:01/02/2003,label:musee de france
8109903,,Musée de l'Abbaye Saint-Michel,GAILLAC,France,fr,open,2007,payant:2619;gratuit:1583;total:4202;mdf-date:01/02/2003,label:musee de france
8114001,,Musée du Pays Vaurais,LAVAUR,France,fr,open,2007,payant:500;gratuit:0;total:500;mdf-date:01/02/2003,label:musee de france
8207501,,Musée Théodore Calbet,GRISOLLES,France,fr,open,2007,payant:0;gratuit:1566;total:1566;mdf-date:01/02/2003,label:musee de france
8211202,,Musée des arts et traditions populaires,MOISSAC,France,fr,open,2007,payant:3980;gratuit:892;total:4872;mdf-date:01/02/2003,label:musee de france
8212102,,Musée Ingres,MONTAUBAN,France,fr,open,2007,payant:21471;gratuit:29010;total:50481;mdf-date:06/01/2002,label:musee de france
5904301,,Musée Benoît de Puydt,BAILLEUL,France,fr,open,2007,payant:7952;gratuit:0;total:7952;mdf-date:01/02/2003,label:musee de france
5917801,,Musée de la Chartreuse,DOUAI,France,fr,open,2007,payant:12953;gratuit:30175;total:43128;mdf-date:01/02/2003,label:musee de france
5920501,,Musée Municipal d'Escaudain,ESCAUDAIN,France,fr,open,2007,payant:0;gratuit:644;total:644;mdf-date:01/02/2003,label:musee de france
5934501,,"Musée de la Mine, Centre Historique Minier",LEWARDE,France,fr,open,2007,payant:126826;gratuit:14987;total:141813;mdf-date:01/02/2003,label:musee de france
5900901,,Musée d'Art Moderne de Lille Métropole,VILLENEUVE-D'ASCQ,France,fr,open,2007,payant:10160;gratuit:38186;total:48346;mdf-date:01/02/2003,label:musee de france
6210801,,Musée Municipal,BERCK-SUR-MER,France,fr,open,2007,payant:5454;gratuit:8625;total:14079;mdf-date:05/04/2002,label:musee de france
6216004,,Muséum d'Histoire Naturelle,BOULOGNE-SUR-MER,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
6276502,,Musée Henri Dupuis,SAINT-OMER,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
6276701,,Musée Municipal Bruno Danvin,SAINT-POL-SUR-TERNOISE,France,fr,open,2007,payant:0;gratuit:2572;total:2572;mdf-date:01/02/2003,label:musee de france
6277301,,Musée Jean-Charles Cazin,SAMER,France,fr,open,2007,payant:0;gratuit:578;total:578;mdf-date:01/02/2003,label:musee de france
1433302,,Musée Eugène Boudin,HONFLEUR,France,fr,open,2007,payant:30643;gratuit:1469;total:32112;mdf-date:01/02/2003,label:musee de france
1451201,,Musée du Château,PONTECOULANT,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
1476201,,Musée Municipal,VIRE NORMANDIE,France,fr,open,2007,payant:1183;gratuit:4377;total:5560;mdf-date:01/02/2003,label:musee de france
5011001,,Musée de l'Abbaye,CERISY-LA-FORET,France,fr,open,2007,payant:5487;gratuit:883;total:6370;mdf-date:01/02/2003,label:musee de france
5012902,,Musée Thomas Henry,CHERBOURG-EN-COTENTIN,France,fr,open,2007,payant:0;gratuit:18957;total:18957;mdf-date:01/02/2003,label:musee de france
5021801,,Musée Richard Anacréon,GRANVILLE,France,fr,open,2007,payant:7178;gratuit:5938;total:13116;mdf-date:01/02/2003,label:musee de france
5055101,,Musée Barbey d'Aurevilly,SAINT-SAUVEUR-LE-VICOMTE,France,fr,open,2007,payant:676;gratuit:175;total:851;mdf-date:01/02/2003,label:musee de france
2705601,,Musée Municipal,BERNAY,France,fr,open,2007,payant:2248;gratuit:5871;total:8119;mdf-date:01/02/2003,label:musee de france
2701601,,Musée Municipal Nicolas Poussin,LES ANDELYS,France,fr,open,2007,payant:933;gratuit:1553;total:2486;mdf-date:01/02/2003,label:musee de france
2737501,,Musée Municipal,LOUVIERS,France,fr,open,2007,payant:164;gratuit:6942;total:7106;mdf-date:01/02/2003,label:musee de france
2746701,,Musée Alfred Canel,PONT-AUDEMER,France,fr,open,2007,payant:1492;gratuit:2244;total:3736;mdf-date:01/02/2003,label:musee de france
2768101,,Musée Alphonse-Georges Poulain,VERNON,France,fr,open,2007,payant:2021;gratuit:7256;total:9277;mdf-date:01/02/2003,label:musee de france
7605701,,Musée Municipal,BARENTIN,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
7623101,,Musée d'Elbeuf,ELBEUF,France,fr,open,2007,payant:0;gratuit:5526;total:5526;mdf-date:01/02/2003,label:musee de france
7625902,,Musée des Arts & de l'Enfance,FECAMP,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
7635104,,Muséum d'Histoire Naturelle,LE HAVRE,France,fr,open,2007,payant:0;gratuit:13787;total:13787;mdf-date:01/02/2003,label:musee de france
7646201,,Musée Mathon-Durand,NEUFCHATEL-EN-BRAY,France,fr,open,2007,payant:463;gratuit:1664;total:2127;mdf-date:01/02/2003,label:musee de france
